,amikacin,amoxicillin,amoxicillin/clavulanic acid,ampicillin,ampicillin/sulbactam,azithromycin,aztreonam,cefazolin,cefepime,cefotaxime,cefotetan,cefoxitin,cefpodoxime,cefpodoxime_clavulanic_acid,ceftazidime,ceftiofur,ceftriaxone,cefuroxime,cephalothin,chloramphenicol,ciprofloxacin,colistin,doripenem,doxycycline,ertapenem,erythromycin,fosfomycin,gentamicin,imipenem,kanamycin,levofloxacin,meropenem,minocycline,nalidixic acid,nitrofurantoin,norfloxacin,oxytetracycline,piperacillin/tazobactam,streptomycin,sulfamethoxazole,sulfisoxazole,tetracycline,tigecycline,tobramycin,trimethoprim,trimethoprim/sulfamethoxazole
amikacin,1.0,0.0,0.1825995640809011,0.06653131991283988,0.16550267132755786,0.0,0.18074940321835334,0.10318329638906222,0.2787926291266374,0.14626573450941344,0.0,0.29221108608849317,0.15487661515622617,0.12697387374368252,0.20063539435676445,0.4012548252452658,0.16964483436881747,0.22973414586817034,0.0,0.12756225367742485,0.11648967675016071,-0.2763853991962833,0.3217368812492594,0.0,0.2839834076569834,0.0,0.33953418762611975,0.21271692194473363,0.49853824255346985,0.0,0.13837489176637974,0.5171077003437711,0.0,0.12649110640673525,0.13417345704606487,0.0,0.0,0.23233396844150664,0.09057287368239886,0.0522640378903859,0.0,-0.01439733494182517,0.13257401008712374,0.39442528038096736,0.05115388020599669,0.024136900856567993
amoxicillin,0.0,1.0,0.8516110650227647,0.4607869170932586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amoxicillin/clavulanic acid,0.1825995640809011,0.8516110650227647,1.0,0.6091207003207786,0.6715231357973186,0.11470786693528089,0.4970694753640839,0.3140088114842206,0.5554329426712207,0.334114549324933,0.0,0.6262991176993202,0.0,0.0,0.44022242673861284,0.7876529517101705,0.6508710061705,0.11175851434516977,0.0,0.6094401755725204,0.27197065645571333,-0.040522044923655444,0.3656362120635653,0.0,0.5898426665067565,0.7045401419324544,0.0953425314611089,0.3484247873524796,0.4929217864430431,0.0,0.08738982931812292,0.282350109590494,0.0,0.1608246744401086,0.15818004649916928,0.41762016803210317,0.0,0.6774320181614314,0.5695214286468869,0.19656134827672425,0.5561963318179756,0.3976266758151987,0.08627620239070637,0.014806596465282217,0.3389755109951776,-0.072946804204289
ampicillin,0.06653131991283988,0.4607869170932586,0.6091207003207786,1.0,0.33601075251612333,0.1575345454037938,0.37302595150649603,0.5042432983100928,0.3274992487635498,0.5039561368685884,0.07800764512385167,0.5156821671803834,0.0,0.0,0.4373162550310246,0.4469282007066931,0.5506433390302771,0.45875348264943844,0.48096484942509915,0.3887129422999918,0.4554084784423878,-0.008841432562522684,0.13533299049019182,0.26866429101917255,0.15200983381658786,0.8914831259209681,0.08830830524261264,0.3330665404744768,0.091744152676403,0.0,0.15264901302292552,0.12409514719636283,0.08233048894479118,0.5221556042041448,0.09098137333594496,0.24533993536432058,0.41811233797972064,0.320545019694398,0.5547173640767158,0.6570033710458858,0.7403696710732033,0.49641688227823294,0.055601277192313024,0.23535993270959696,0.4773878270030806,0.5318197141517713
ampicillin/sulbactam,0.16550267132755786,0.0,0.6715231357973186,0.33601075251612333,1.0,0.0,0.7566596771220689,0.6728111897994425,0.6521517622111712,0.7084881518372367,0.0,0.6742526904728666,0.0,0.0,0.7632158981906706,0.18266925180652474,0.6798042271993705,0.5859606023960604,0.0,0.2118350537254681,0.12579229109792195,0.35,0.320373682108383,0.2541620310664794,0.23494185639713283,0.0,0.33006810528804553,0.3034181977158583,0.2679914652458106,0.0,0.21524082255153515,0.2570565542348095,-0.05114698973243409,0.4823819106188661,-0.26831933926213813,0.8284168695795141,0.08458516727440954,0.3938533761791448,0.09220517785543067,0.0,0.0,0.2178324594548683,0.0,0.37865906811476996,0.39279220242478624,0.19065092582030224
azithromycin,0.0,0.0,0.11470786693528089,0.1575345454037938,0.0,1.0,0.0,0.0,-0.02060964050034348,1.0,0.0,0.0,0.0,0.0,0.06828740266378568,0.0,-0.04717978110149354,0.0,0.0,0.07267346660603173,0.3507010087418636,0.0,0.0,0.0,0.0,1.0,0.0,0.017234388375297224,0.0,0.0,0.0,0.25254126352594675,0.0,0.0,0.0,0.4012294604498756,0.0,0.0,-0.04378925162883496,0.12020747014394455,0.0,0.09919491029391836,0.0,0.2811837966266549,0.1308399046238017,0.09561157770375203
aztreonam,0.18074940321835334,0.0,0.4970694753640839,0.37302595150649603,0.7566596771220689,0.0,1.0,0.6541404180452208,0.7866388009649332,0.9080862240883568,0.0,0.6374552583116768,0.0,0.0,0.9417619981563607,0.426156303957009,0.7909495343557,0.7357885994794927,0.0,0.1546865705617188,0.2881233743580201,-0.06465741506925923,0.28365431446558775,-0.010876706757180566,0.3233485102553574,0.0,0.23170292199528675,0.2867455167370838,0.27398718077435397,0.0,0.26835689425858994,0.28571083995414587,-0.15715247901776153,0.025533995611807355,-0.19560439560439555,0.2975595178559521,0.06550715792540233,0.5237032673747665,0.06912736005556003,0.0,0.0,0.05145380729684103,-0.10787573960479425,0.38490840092396716,0.3583279165655396,0.188909484806147
cefazolin,0.10318329638906222,0.0,0.3140088114842206,0.5042432983100928,0.6728111897994425,0.0,0.6541404180452208,1.0,0.449766126214191,0.6511308451146737,0.35946277018081785,0.1581138830084189,0.0,0.0,0.5288558808592182,0.9518313432446452,0.8921227861044972,0.0,0.0,4.1332588203911433e-17,0.32712299031223285,0.0,0.18353258709644937,0.12420391875696776,0.08805642993501767,0.0,0.0,0.23404016045811238,0.18454193982447326,0.0,0.20025518860436545,0.17228703466589906,-0.03473544014603868,0.6031483057987305,-0.22855173234465545,0.0,0.16378822960166323,0.32429822766006317,0.10303300099989603,0.0,0.0,0.15636418255858942,0.0,0.18076924927512308,0.0,0.08770379593955573
cefepime,0.2787926291266374,0.0,0.5554329426712207,0.3274992487635498,0.6521517622111712,-0.02060964050034348,0.7866388009649332,0.449766126214191,1.0,0.80704878599967,0.5620872076337506,0.533666883531037,0.0,0.0,0.7424275182198862,0.3846297894162217,0.627788694396939,0.3409738375517057,0.0,0.19549134003855737,0.4595277556543357,0.030934411244487287,0.5069154272819538,0.010848361832308372,0.48066826904221216,0.0,0.35133030007284716,0.2867026733694148,0.354394269546191,-0.24999999999999992,0.19639876779711749,0.43794630765996634,-0.1632761580891109,0.2691278083444701,0.021600912630610602,0.21460831906423308,0.06392027721005931,0.560904611091235,0.009978072334820814,0.013909295572661426,0.0,0.14129904164821683,-0.02969405701370575,0.5671995380445092,0.10278175667017864,0.1274111542517989
cefotaxime,0.14626573450941344,0.0,0.334114549324933,0.5039561368685884,0.7084881518372367,1.0,0.9080862240883568,0.6511308451146737,0.80704878599967,1.0,0.0,0.7971641073878247,0.8554676446390331,0.9296691481959197,0.858089047321867,0.0,0.9826722852996226,0.9121417550919686,0.8607956374985638,0.48206964048101114,0.560259574910849,-0.48595534813868946,0.3620668957178907,0.0,0.41953746849334195,1.0,0.10841438575955249,0.44533810511584804,0.11728589370100727,-0.30151134457776363,0.35309440897617383,0.21381531454059807,0.11111111111111104,0.5277305931059149,0.6770032003863302,0.2852011797287316,0.0,0.29267831777737097,0.0,0.4421702499202427,0.0,0.30862073425443093,0.14452920678925804,0.46611893017557293,0.5657733166079222,0.3382781991529585
cefotetan,0.0,0.0,0.0,0.07800764512385167,0.0,0.0,0.0,0.35946277018081785,0.5620872076337506,0.0,1.0,0.0,0.0,0.0,0.35235854638305103,0.0,0.30956959368344517,0.0,0.0,0.001071447704594211,0.10552972010573186,0.0,0.0,0.1340587880929672,0.0,0.0,0.0,0.302113876779797,0.0,0.0,0.0,0.49386479832479474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039486735585037326
cefoxitin,0.29221108608849317,0.0,0.6262991176993202,0.5156821671803834,0.6742526904728666,0.0,0.6374552583116768,0.1581138830084189,0.533666883531037,0.7971641073878247,0.0,1.0,0.5478131126115974,0.5362583318048694,0.8049991607172922,0.96278488381896,0.6637443939205653,-0.11470786693528091,0.0,0.7372140301015374,0.33543927582607447,-0.4971165487978835,0.39470650663684487,0.0,0.3189731980430914,0.0,-0.0657951694959769,0.3617356266305931,0.1564020291393715,0.0,0.2193678317422143,0.30243104481918737,0.0,-0.12761055229764054,0.1722186909255354,0.13819749820569555,0.0,0.3218972206843804,0.6593099592855697,0.0,0.6719057852857954,0.40245216039648346,0.1673483841085858,0.28107177151718943,0.12836686537498787,-0.1467889035377318
cefpodoxime,0.15487661515622617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8554676446390331,0.0,0.5478131126115974,1.0,0.9283824005741724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11572222372783947,0.0,0.0,0.2966788367955947,0.0,0.0,0.0,0.24748211150913335,0.0,0.0,0.0,0.0,0.0,-0.12787321262844806,0.0,0.0,0.0,0.0,0.16330442751522342,0.298583094714827,0.0,0.0
cefpodoxime_clavulanic_acid,0.12697387374368252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9296691481959197,0.0,0.5362583318048694,0.9283824005741724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32869955420153185,0.0,0.0,0.2654014420228847,0.0,0.0,0.0,0.22036849090396907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13228756555322957,0.2394216155902383,0.0,0.0
ceftazidime,0.20063539435676445,0.0,0.44022242673861284,0.4373162550310246,0.7632158981906706,0.06828740266378568,0.9417619981563607,0.5288558808592182,0.7424275182198862,0.858089047321867,0.35235854638305103,0.8049991607172922,0.0,0.0,1.0,0.3846297894162217,0.7870583500544706,0.8097236436084227,0.7027998378886802,0.21733734947075672,0.515643404789831,-0.5034925832394377,0.32897235700144706,0.06832252537489121,0.3538206850333507,1.0,0.1582516499989155,0.4042594797229559,0.22344248339854247,0.0,0.20246431409151436,0.238382305415171,-0.08588975014708027,0.5932868947019563,-0.08175087141005485,0.34945603362417577,0.07872958216222173,0.33081917137687433,0.038213923977666604,0.15961353549606513,0.0,0.18443001260171546,-0.006598100524250322,0.47003269423842337,0.3192638985427921,0.27479690037987625
ceftiofur,0.4012548252452658,0.0,0.7876529517101705,0.4469282007066931,0.18266925180652474,0.0,0.426156303957009,0.9518313432446452,0.3846297894162217,0.0,0.0,0.96278488381896,0.0,0.0,0.3846297894162217,1.0,1.0,0.0,0.0,0.273163165591556,-0.44097670015367874,-1.0,0.0,0.04128808000936099,0.0,0.0,0.0,0.5840929249133867,0.0,0.0,0.14964115248263204,0.0,-0.04153902016271486,-0.20985218697789115,0.14883219886426421,0.0,0.07816023641463078,0.0,0.3009682575496628,0.0,0.6319375893627089,0.41704253311508427,0.0,0.0,0.0,-0.43534932866209664
ceftriaxone,0.16964483436881747,0.0,0.6508710061705,0.5506433390302771,0.6798042271993705,-0.04717978110149354,0.7909495343557,0.8921227861044972,0.627788694396939,0.9826722852996226,0.30956959368344517,0.6637443939205653,0.0,0.0,0.7870583500544706,1.0,1.0,0.5258849911562841,0.0,0.4209752688285359,0.5140672263391367,-0.113960576459638,0.306785995538948,-0.02654773563348695,0.1801453703734008,1.0,0.17430436986532952,0.3953914753283499,0.2588806868329674,0.0,0.2510250552945907,0.2720922079309629,-0.12314638127904155,0.17678349688550066,0.020676164069284273,0.37739527810502316,0.08703882797784884,0.35198515162362853,0.2969535989197382,0.07706284170463067,0.6452437489699364,0.3464721377960694,0.09271913472775739,0.432277645275012,0.11329653387008941,-0.027940417505398447
cefuroxime,0.22973414586817034,0.0,0.11175851434516977,0.45875348264943844,0.5859606023960604,0.0,0.7357885994794927,0.0,0.3409738375517057,0.9121417550919686,0.0,-0.11470786693528091,0.0,0.0,0.8097236436084227,0.0,0.5258849911562841,1.0,0.8919089633852813,0.5803810000880093,0.5950775912153236,0.4176201680321032,0.0,0.0,0.36839419880650354,0.0,0.2204389946983784,0.574239827369783,0.411877235523957,0.0,0.5194624816493199,0.12833630223700032,0.0,0.6200645466536585,0.4755948656056712,0.5737128161373644,0.0,0.19372197636917954,0.0,0.0,0.0,-0.06933752452815373,0.0,0.53313751752291,0.5066325501138152,0.3005500630871925
cephalothin,0.0,0.0,0.0,0.48096484942509915,0.0,0.0,0.0,0.0,0.0,0.8607956374985638,0.0,0.0,0.0,0.0,0.7027998378886802,0.0,0.0,0.8919089633852813,1.0,0.0,0.5820938082662288,0.0,0.0,0.0,0.0,0.0,0.0,0.5158757389177785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5436510074950146,0.5290466008008577,0.0
chloramphenicol,0.12756225367742485,0.0,0.6094401755725204,0.3887129422999918,0.2118350537254681,0.07267346660603173,0.1546865705617188,4.1332588203911433e-17,0.19549134003855737,0.48206964048101114,0.001071447704594211,0.7372140301015374,0.0,0.0,0.21733734947075672,0.273163165591556,0.4209752688285359,0.5803810000880093,0.0,1.0,0.3312277023013655,0.032653061224489896,0.0,0.34342689538919524,0.11489312875225727,0.7021175987756721,0.14423398811844215,0.3763907336204909,0.09864632011812854,-0.0800640769025436,0.2561014118037233,0.12318469526469514,0.16325409970504798,0.23415417295644503,0.2995611821151129,0.41289542355106046,0.3359301817390368,0.16796775328675623,0.44900144299630373,0.3502698355959658,0.46729250248469795,0.4865049651565021,0.12409295319583559,0.2876147882076577,0.318407299710294,0.005441296710599444
ciprofloxacin,0.11648967675016071,0.0,0.27197065645571333,0.4554084784423878,0.12579229109792195,0.3507010087418636,0.2881233743580201,0.32712299031223285,0.4595277556543357,0.560259574910849,0.10552972010573186,0.33543927582607447,0.0,0.0,0.515643404789831,-0.44097670015367874,0.5140672263391367,0.5950775912153236,0.5820938082662288,0.3312277023013655,1.0,-0.017426787016937915,0.04227029505402986,0.15015512368412218,0.1686576701351278,0.9502684007399251,0.01884842587312622,0.3821123109428849,0.09908351323553277,0.0,0.9610829243146508,0.13765567489359024,0.016804435825192005,0.9384289417625302,0.2779503154834246,0.6428481569850292,0.3380603145248008,0.20432855829161442,0.2500876322989197,0.22909951038842413,0.0,0.20571071359695114,0.048418121412165255,0.4586345994840672,0.3631293692682471,0.40483846462698286
colistin,-0.2763853991962833,0.0,-0.040522044923655444,-0.008841432562522684,0.35,0.0,-0.06465741506925923,0.0,0.030934411244487287,-0.48595534813868946,0.0,-0.4971165487978835,0.0,0.0,-0.5034925832394377,-1.0,-0.113960576459638,0.4176201680321032,0.0,0.032653061224489896,-0.017426787016937915,1.0,0.0,0.0,0.031016140346615702,0.0,0.3751542892474253,0.3518980820874105,0.15016409939179168,0.0,-0.07015265066324025,0.013158481636729486,0.0,0.5522608242025037,0.23924685418842448,0.5573704017131538,0.0,0.06769686620499363,0.0,-0.11633501014942198,0.0,0.0904905551965282,-0.20140599270554793,0.17857142857142863,0.30714171670665985,-0.102152909684238
