,amikacin,amoxicillin,amoxicillin/clavulanic acid,ampicillin,ampicillin/sulbactam,azithromycin,aztreonam,cefazolin,cefepime,cefotaxime,cefotetan,cefoxitin,cefpodoxime,cefpodoxime_clavulanic_acid,ceftazidime,ceftiofur,ceftriaxone,cefuroxime,cephalothin,chloramphenicol,ciprofloxacin,colistin,doripenem,doxycycline,ertapenem,erythromycin,fosfomycin,gentamicin,imipenem,kanamycin,levofloxacin,meropenem,minocycline,nalidixic acid,nitrofurantoin,norfloxacin,oxytetracycline,piperacillin/tazobactam,streptomycin,sulfamethoxazole,sulfisoxazole,tetracycline,tigecycline,tobramycin,trimethoprim,trimethoprim/sulfamethoxazole
doripenem,0.3217368812492594,0.0,0.3656362120635653,0.13533299049019182,0.320373682108383,0.0,0.28365431446558775,0.18353258709644937,0.5069154272819538,0.3620668957178907,0.0,0.39470650663684487,0.0,0.0,0.32897235700144706,0.0,0.306785995538948,0.0,0.0,0.0,0.04227029505402986,0.0,1.0,0.0,0.7915639118690457,0.0,0.0,-0.08685990362153806,0.8688509427884126,0.0,0.042270295054029836,1.0,0.0,0.0,0.0,0.0,0.0,0.6215637243393746,0.0,0.0,0.0,0.10755228250700086,0.0,0.13434128175506266,0.0,0.05103103630798286
doxycycline,0.0,0.0,0.0,0.26866429101917255,0.2541620310664794,0.0,-0.010876706757180566,0.12420391875696776,0.010848361832308372,0.0,0.1340587880929672,0.0,0.0,0.0,0.06832252537489121,0.04128808000936099,-0.02654773563348695,0.0,0.0,0.34342689538919524,0.15015512368412218,0.0,0.0,1.0,0.0,0.0,0.0,0.3109600711602729,-0.0974335526805363,-0.25203347226782336,0.3663265306122451,0.05152540399295445,0.21684543705982767,0.0,0.194559893547813,0.0,0.7801894976054937,0.0,0.4139217962356843,0.0,0.0,0.0,0.0,0.0,0.0,0.3329618214662117
ertapenem,0.2839834076569834,0.0,0.5898426665067565,0.15200983381658786,0.23494185639713283,0.0,0.3233485102553574,0.08805642993501767,0.48066826904221216,0.41953746849334195,0.0,0.3189731980430914,0.11572222372783947,0.32869955420153185,0.3538206850333507,0.0,0.1801453703734008,0.36839419880650354,0.0,0.11489312875225727,0.1686576701351278,0.031016140346615702,0.7915639118690457,0.0,1.0,0.0,0.2947916441478614,-0.06035951731240778,0.8590675984071733,0.0,0.13114985525282877,0.5144805325336572,0.0,0.0,0.7046994088926691,0.15365907428821488,0.0,0.82641970688228,0.0,0.0,0.0,-0.004510182670188195,0.10500566400694811,0.10634907395225524,0.35160542320387167,0.09469954671869871
erythromycin,0.0,0.0,0.7045401419324544,0.8914831259209681,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7021175987756721,0.9502684007399251,0.0,0.0,0.0,0.0,1.0,0.0,-0.010285257546459193,0.0,0.0,0.0,1.0,0.0,0.8894171135819049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927605533407705,0.0,0.0,0.0,0.0
fosfomycin,0.33953418762611975,0.0,0.0953425314611089,0.08830830524261264,0.33006810528804553,0.0,0.23170292199528675,0.0,0.35133030007284716,0.10841438575955249,0.0,-0.0657951694959769,0.0,0.0,0.1582516499989155,0.0,0.17430436986532952,0.2204389946983784,0.0,0.14423398811844215,0.01884842587312622,0.3751542892474253,0.0,0.0,0.2947916441478614,0.0,1.0,0.25095102046281853,0.3964914089665436,0.0,-0.09479245215526907,0.34278069620209034,0.0,0.233549683248457,-0.008825056370227615,0.46987149389936483,0.0,0.3388337645840859,0.0,0.0,0.0,0.0070429521227375605,0.0,0.2211629342323457,0.16862291518235772,0.01382956364463801
gentamicin,0.21271692194473363,0.0,0.3484247873524796,0.3330665404744768,0.3034181977158583,0.017234388375297224,0.2867455167370838,0.23404016045811238,0.2867026733694148,0.44533810511584804,0.302113876779797,0.3617356266305931,0.2966788367955947,0.2654014420228847,0.4042594797229559,0.5840929249133867,0.3953914753283499,0.574239827369783,0.5158757389177785,0.3763907336204909,0.3821123109428849,0.3518980820874105,-0.08685990362153806,0.3109600711602729,-0.06035951731240778,-0.010285257546459193,0.25095102046281853,1.0,0.09229406366354538,0.16666666666666666,0.21115434228230145,0.13640943447638446,0.22668559342927103,0.22507219991755972,-0.02320286043457078,0.48033460055453026,0.010174922425653803,0.122064200608404,0.20764227560019,0.18809239707602507,0.4342481186734474,0.19883155272496295,0.06045604999937617,0.7764452037022489,0.3021125487049494,0.24639355933939674
imipenem,0.49853824255346985,0.0,0.4929217864430431,0.091744152676403,0.2679914652458106,0.0,0.27398718077435397,0.18454193982447326,0.354394269546191,0.11728589370100727,0.0,0.1564020291393715,0.0,0.0,0.22344248339854247,0.0,0.2588806868329674,0.411877235523957,0.0,0.09864632011812854,0.09908351323553277,0.15016409939179168,0.8688509427884126,-0.0974335526805363,0.8590675984071733,0.0,0.3964914089665436,0.09229406366354538,1.0,0.7358419766730804,0.0859551791076519,0.922692553302289,0.2801486126146474,0.6125794231736323,0.16098467038839018,0.27386127875258304,0.0,0.8215838362577481,0.17549102954075846,0.0,0.0,0.11123747566562242,-0.05397918963594133,0.28172281418783,0.3668996928526712,0.11825886934967841
kanamycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24999999999999992,-0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0800640769025436,0.0,0.0,0.0,-0.25203347226782336,0.0,0.0,0.0,0.16666666666666666,0.7358419766730804,1.0,0.0,0.0,0.27216552697590873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09656090991705346,0.0,0.0,0.0,0.036369648372665445
levofloxacin,0.13837489176637974,0.0,0.08738982931812292,0.15264901302292552,0.21524082255153515,0.0,0.26835689425858994,0.20025518860436545,0.19639876779711749,0.35309440897617383,0.0,0.2193678317422143,0.0,0.0,0.20246431409151436,0.14964115248263204,0.2510250552945907,0.5194624816493199,0.0,0.2561014118037233,0.9610829243146508,-0.07015265066324025,0.042270295054029836,0.3663265306122451,0.13114985525282877,0.0,-0.09479245215526907,0.21115434228230145,0.0859551791076519,0.0,1.0,0.11884081779592888,0.10222268140824073,0.9330250341152238,0.2455348869165332,0.7417981870189158,0.3049244501112929,0.14074323206202324,0.16306120326807103,0.0,0.0,0.1499615778134164,0.06850391379615657,0.3537462783500152,0.23904572186687886,0.2689613575124662
meropenem,0.5171077003437711,0.0,0.282350109590494,0.12409514719636283,0.2570565542348095,0.25254126352594675,0.28571083995414587,0.17228703466589906,0.43794630765996634,0.21381531454059807,0.49386479832479474,0.30243104481918737,0.24748211150913335,0.22036849090396907,0.238382305415171,0.0,0.2720922079309629,0.12833630223700032,0.0,0.12318469526469514,0.13765567489359024,0.013158481636729486,1.0,0.05152540399295445,0.5144805325336572,1.0,0.34278069620209034,0.13640943447638446,0.922692553302289,0.0,0.11884081779592888,1.0,0.0,0.0,0.13045613675619264,0.12948493982746329,0.0,0.4152297404903264,0.0,0.0,0.0,0.07861753271268865,0.30812732806860416,0.33670867417492717,0.0955916277723118,0.10420625045118619
minocycline,0.0,0.0,0.0,0.08233048894479118,-0.05114698973243409,0.0,-0.15715247901776153,-0.03473544014603868,-0.1632761580891109,0.11111111111111104,0.0,0.0,0.0,0.0,-0.08588975014708027,-0.04153902016271486,-0.12314638127904155,0.0,0.0,0.16325409970504798,0.016804435825192005,0.0,0.0,0.21684543705982767,0.0,0.0,0.0,0.22668559342927103,0.2801486126146474,0.27216552697590873,0.10222268140824073,0.0,1.0,0.0,-0.06457287098422147,0.0,0.047828670265295956,0.0,0.05050762722761055,0.0,0.0,0.0,0.0,0.0,0.0,0.13448850465079892
nalidixic acid,0.12649110640673525,0.0,0.1608246744401086,0.5221556042041448,0.4823819106188661,0.0,0.025533995611807355,0.6031483057987305,0.2691278083444701,0.5277305931059149,0.0,-0.12761055229764054,0.0,0.0,0.5932868947019563,-0.20985218697789115,0.17678349688550066,0.6200645466536585,0.0,0.23415417295644503,0.9384289417625302,0.5522608242025037,0.0,0.0,0.0,0.8894171135819049,0.233549683248457,0.22507219991755972,0.6125794231736323,0.0,0.9330250341152238,0.0,0.0,1.0,0.0,0.8745098039215685,0.0,0.5443310539518174,0.243243243243243,0.5780095440205694,0.04539986092530581,0.4300354812728783,0.0,0.4900980294098034,0.5404212391246964,0.6949249556403606
nitrofurantoin,0.13417345704606487,0.0,0.15818004649916928,0.09098137333594496,-0.26831933926213813,0.0,-0.19560439560439555,-0.22855173234465545,0.021600912630610602,0.6770032003863302,0.0,0.1722186909255354,0.0,0.0,-0.08175087141005485,0.14883219886426421,0.020676164069284273,0.4755948656056712,0.0,0.2995611821151129,0.2779503154834246,0.23924685418842448,0.0,0.194559893547813,0.7046994088926691,0.0,-0.008825056370227615,-0.02320286043457078,0.16098467038839018,0.0,0.2455348869165332,0.13045613675619264,-0.06457287098422147,0.0,1.0,0.0,0.25747621272173776,0.040233881118521345,0.2712465455929128,0.0,0.0,-0.009226097313475968,-0.028571428571428602,0.1893888026581635,0.07220640094792087,0.005773663073653676
norfloxacin,0.0,0.0,0.41762016803210317,0.24533993536432058,0.8284168695795141,0.4012294604498756,0.2975595178559521,0.0,0.21460831906423308,0.2852011797287316,0.0,0.13819749820569555,0.0,0.0,0.34945603362417577,0.0,0.37739527810502316,0.5737128161373644,0.0,0.41289542355106046,0.6428481569850292,0.5573704017131538,0.0,0.0,0.15365907428821488,0.0,0.46987149389936483,0.48033460055453026,0.27386127875258304,0.0,0.7417981870189158,0.12948493982746329,0.0,0.8745098039215685,0.0,1.0,0.0,0.29755951785595214,-0.1407186806165916,-0.05566176591849149,0.0,0.14929193605970212,0.0,0.4315849250403586,-0.01150926975780942,0.040280583412836676
oxytetracycline,0.0,0.0,0.0,0.41811233797972064,0.08458516727440954,0.0,0.06550715792540233,0.16378822960166323,0.06392027721005931,0.0,0.0,0.0,0.0,0.0,0.07872958216222173,0.07816023641463078,0.08703882797784884,0.0,0.0,0.3359301817390368,0.3380603145248008,0.0,0.0,0.7801894976054937,0.0,0.0,0.0,0.010174922425653803,0.0,0.0,0.3049244501112929,0.0,0.047828670265295956,0.0,0.25747621272173776,0.0,1.0,0.0,0.3825550265626479,0.0,0.0,0.0,0.0,0.0,0.0,0.4480068175874617
piperacillin/tazobactam,0.23233396844150664,0.0,0.6774320181614314,0.320545019694398,0.3938533761791448,0.0,0.5237032673747665,0.32429822766006317,0.560904611091235,0.29267831777737097,0.0,0.3218972206843804,-0.12787321262844806,0.0,0.33081917137687433,0.0,0.35198515162362853,0.19372197636917954,0.0,0.16796775328675623,0.20432855829161442,0.06769686620499363,0.6215637243393746,0.0,0.82641970688228,0.0,0.3388337645840859,0.122064200608404,0.8215838362577481,0.0,0.14074323206202324,0.4152297404903264,0.0,0.5443310539518174,0.040233881118521345,0.29755951785595214,0.0,1.0,0.0,0.0,0.0,0.061392455723646246,0.14848864301288198,-0.1025588902342069,0.13990105851817547,0.18770762332392651
streptomycin,0.09057287368239886,0.0,0.5695214286468869,0.5547173640767158,0.09220517785543067,-0.04378925162883496,0.06912736005556003,0.10303300099989603,0.009978072334820814,0.0,0.0,0.6593099592855697,0.0,0.0,0.038213923977666604,0.3009682575496628,0.2969535989197382,0.0,0.0,0.44900144299630373,0.2500876322989197,0.0,0.0,0.4139217962356843,0.0,0.0,0.0,0.20764227560019,0.17549102954075846,0.0,0.16306120326807103,0.0,0.05050762722761055,0.243243243243243,0.2712465455929128,-0.1407186806165916,0.3825550265626479,0.0,1.0,0.5635445125120266,0.7039232969635316,0.6639671540389283,0.0,-0.14547859349066172,0.5425886547966781,0.28139924755183515
sulfamethoxazole,0.0522640378903859,0.0,0.19656134827672425,0.6570033710458858,0.0,0.12020747014394455,0.0,0.0,0.013909295572661426,0.4421702499202427,0.0,0.0,0.0,0.0,0.15961353549606513,0.0,0.07706284170463067,0.0,0.0,0.3502698355959658,0.22909951038842413,-0.11633501014942198,0.0,0.0,0.0,0.0,0.0,0.18809239707602507,0.0,0.0,0.0,0.0,0.0,0.5780095440205694,0.0,-0.05566176591849149,0.0,0.0,0.5635445125120266,1.0,0.0,0.6816934488877288,0.1168683737510571,0.002074037202629243,0.9116665726738491,0.9881153531949158
sulfisoxazole,0.0,0.0,0.5561963318179756,0.7403696710732033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6719057852857954,0.0,0.0,0.0,0.6319375893627089,0.6452437489699364,0.0,0.0,0.46729250248469795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4342481186734474,0.0,0.0,0.0,0.0,0.0,0.04539986092530581,0.0,0.0,0.0,0.0,0.7039232969635316,0.0,1.0,0.4479264210004922,0.0,0.0,0.0,0.17320508075688795
tetracycline,-0.01439733494182517,0.0,0.3976266758151987,0.49641688227823294,0.2178324594548683,0.09919491029391836,0.05145380729684103,0.15636418255858942,0.14129904164821683,0.30862073425443093,0.0,0.40245216039648346,0.0,0.0,0.18443001260171546,0.41704253311508427,0.3464721377960694,-0.06933752452815373,0.0,0.4865049651565021,0.20571071359695114,0.0904905551965282,0.10755228250700086,0.0,-0.004510182670188195,0.6927605533407705,0.0070429521227375605,0.19883155272496295,0.11123747566562242,-0.09656090991705346,0.1499615778134164,0.07861753271268865,0.0,0.4300354812728783,-0.009226097313475968,0.14929193605970212,0.0,0.061392455723646246,0.6639671540389283,0.6816934488877288,0.4479264210004922,1.0,0.06525482224593723,0.0326049021227776,0.6625182976361291,0.34714084308232473
tigecycline,0.13257401008712374,0.0,0.08627620239070637,0.055601277192313024,0.0,0.0,-0.10787573960479425,0.0,-0.02969405701370575,0.14452920678925804,0.0,0.1673483841085858,0.16330442751522342,0.13228756555322957,-0.006598100524250322,0.0,0.09271913472775739,0.0,0.0,0.12409295319583559,0.048418121412165255,-0.20140599270554793,0.0,0.0,0.10500566400694811,0.0,0.0,0.06045604999937617,-0.05397918963594133,0.0,0.06850391379615657,0.30812732806860416,0.0,0.0,-0.028571428571428602,0.0,0.0,0.14848864301288198,0.0,0.1168683737510571,0.0,0.06525482224593723,1.0,0.03195794271106952,0.0,-0.014678564147181123
tobramycin,0.39442528038096736,0.0,0.014806596465282217,0.23535993270959696,0.37865906811476996,0.2811837966266549,0.38490840092396716,0.18076924927512308,0.5671995380445092,0.46611893017557293,0.0,0.28107177151718943,0.298583094714827,0.2394216155902383,0.47003269423842337,0.0,0.432277645275012,0.53313751752291,0.5436510074950146,0.2876147882076577,0.4586345994840672,0.17857142857142863,0.13434128175506266,0.0,0.10634907395225524,0.0,0.2211629342323457,0.7764452037022489,0.28172281418783,0.0,0.3537462783500152,0.33670867417492717,0.0,0.4900980294098034,0.1893888026581635,0.4315849250403586,0.0,-0.1025588902342069,-0.14547859349066172,0.002074037202629243,0.0,0.0326049021227776,0.03195794271106952,1.0,0.2491630575968354,0.14244845522201563
trimethoprim,0.05115388020599669,0.0,0.3389755109951776,0.4773878270030806,0.39279220242478624,0.1308399046238017,0.3583279165655396,0.0,0.10278175667017864,0.5657733166079222,0.0,0.12836686537498787,0.0,0.0,0.3192638985427921,0.0,0.11329653387008941,0.5066325501138152,0.5290466008008577,0.318407299710294,0.3631293692682471,0.30714171670665985,0.0,0.0,0.35160542320387167,0.0,0.16862291518235772,0.3021125487049494,0.3668996928526712,0.0,0.23904572186687886,0.0955916277723118,0.0,0.5404212391246964,0.07220640094792087,-0.01150926975780942,0.0,0.13990105851817547,0.5425886547966781,0.9116665726738491,0.0,0.6625182976361291,0.0,0.2491630575968354,1.0,0.9691146265657196
trimethoprim/sulfamethoxazole,0.024136900856567993,0.0,-0.072946804204289,0.5318197141517713,0.19065092582030224,0.09561157770375203,0.188909484806147,0.08770379593955573,0.1274111542517989,0.3382781991529585,0.039486735585037326,-0.1467889035377318,0.0,0.0,0.27479690037987625,-0.43534932866209664,-0.027940417505398447,0.3005500630871925,0.0,0.005441296710599444,0.40483846462698286,-0.102152909684238,0.05103103630798286,0.3329618214662117,0.09469954671869871,0.0,0.01382956364463801,0.24639355933939674,0.11825886934967841,0.036369648372665445,0.2689613575124662,0.10420625045118619,0.13448850465079892,0.6949249556403606,0.005773663073653676,0.040280583412836676,0.4480068175874617,0.18770762332392651,0.28139924755183515,0.9881153531949158,0.17320508075688795,0.34714084308232473,-0.014678564147181123,0.14244845522201563,0.9691146265657196,1.0
